refdes,pin,voltage,current
J1,2,4.99992,0.03905
J1,1,4.99992,0.03905
J1,11,0.0,-0.03905
J1,12,0.0,-0.03905
D1,2,3.29955,-0.01
R1,2,8.56985e-05,0.01
U2,1,3.2993,-0.0139873
U2,24,3.29944,-0.0140104
U2,36,3.29945,-0.0140129
U2,48,3.29931,-0.0139894
U2,23,0.000289435,0.0186623
U2,35,0.000243541,0.0186698
U2,47,0.000254605,0.018668
J16,4,3.2995,-0.01
J16,6,0.000210028,0.01
U2,9,3.2994,-0.002
U2,8,0.000195641,0.002
U1,2,4.99974,-0.0781
U1,1,0.000137405,0.0001
U1,3,3.29974,0.078
FB1,1,3.29969,-0.002
FB1,2,3.29951,0.002
