x,y,layer1,layer2,voltage1,voltage2,current
2990.48,3127.04,TOP_LAYER,INT1__GND_,8.12142e-05,8.12142e-05,2.41819e-16
2990.48,3127.04,INT1__GND_,INT2__PWR_,8.12142e-05,8.12142e-05,-3.09672e-16
2990.48,3127.04,INT2__PWR_,BOTTOM_LAYER,8.12142e-05,8.12142e-05,-3.22426e-16
2990.48,3467.2,TOP_LAYER,INT1__GND_,8.82001e-05,8.82001e-05,2.41819e-16
2990.48,3467.2,INT1__GND_,INT2__PWR_,8.82001e-05,8.82001e-05,-3.56123e-16
2990.48,3467.2,INT2__PWR_,BOTTOM_LAYER,8.82001e-05,8.82001e-05,-2.41819e-16
3068.54,3587.46,TOP_LAYER,INT1__GND_,9.33436e-05,9.33436e-05,-7.98864e-17
3068.54,3587.46,INT1__GND_,INT2__PWR_,9.33436e-05,9.33436e-05,3.83632e-17
3068.54,3587.46,INT2__PWR_,BOTTOM_LAYER,9.33436e-05,9.33436e-05,3.99432e-17
3092.54,3052.46,TOP_LAYER,INT1__GND_,3.29956,3.29957,-0.01
3092.54,3052.46,INT1__GND_,INT2__PWR_,3.29957,3.29958,-0.01
3092.54,3052.46,INT2__PWR_,BOTTOM_LAYER,3.29958,3.29958,1.30886e-12
3129.54,3680.46,TOP_LAYER,INT1__GND_,9.82925e-05,9.82925e-05,1.1983e-16
3129.54,3680.46,INT1__GND_,INT2__PWR_,9.82925e-05,9.82925e-05,3.83632e-17
3129.54,3680.46,INT2__PWR_,BOTTOM_LAYER,9.82925e-05,9.82925e-05,3.99432e-17
3152.34,3129.74,TOP_LAYER,INT1__GND_,4.61758e-05,4.96389e-05,-0.0122037
3152.34,3129.74,INT1__GND_,INT2__PWR_,4.96389e-05,4.96389e-05,1.83478e-17
3152.34,3129.74,INT2__PWR_,BOTTOM_LAYER,4.96389e-05,4.96389e-05,4.77585e-17
3152.34,3469.9,TOP_LAYER,INT1__GND_,4.05075e-05,4.77304e-05,-0.0254531
3152.34,3469.9,INT1__GND_,INT2__PWR_,4.77304e-05,4.77304e-05,1.83478e-17
3152.34,3469.9,INT2__PWR_,BOTTOM_LAYER,4.77304e-05,4.77304e-05,4.77585e-17
3216.54,3006.46,TOP_LAYER,INT1__GND_,7.48732e-05,7.65982e-05,-0.00508393
3216.54,3006.46,INT1__GND_,INT2__PWR_,7.65982e-05,7.65982e-05,3.06906e-17
