refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,4.99992,0.03905,0
VCOMP0,VCOMP0-1,4.99992,0.03905,0
VCOMP0,VCOMP0-2,0,-0.03905,0
VCOMP0,VCOMP0-3,0,-0.03905,0
VCOMP1,VCOMP1-0,3.29955,-0.01,10
VCOMP1,VCOMP1-1,8.56985e-05,0.01,10
VCOMP2,VCOMP2-0,3.2993,-0.0139873,6.12245
VCOMP2,VCOMP2-1,3.29944,-0.0140104,6.12245
VCOMP2,VCOMP2-2,3.29945,-0.0140129,6.12245
VCOMP2,VCOMP2-3,3.29931,-0.0139894,6.12245
VCOMP2,VCOMP2-4,0.000289435,0.0186623,6.12245
VCOMP2,VCOMP2-5,0.000243541,0.0186698,6.12245
VCOMP2,VCOMP2-6,0.000254605,0.018668,6.12245
VCOMP3,VCOMP3-0,3.2995,-0.01,10
VCOMP3,VCOMP3-1,0.000210028,0.01,10
VCOMP4,VCOMP4-0,3.2994,-0.002,50
VCOMP4,VCOMP4-1,0.000195641,0.002,50
VCOMP5,VCOMP5-0,4.99974,-0.0001,1000
VCOMP5,VCOMP5-1,0.000137405,0.0001,1000
VCOMP6,VCOMP6-0,4.99974,-0.078,0
VCOMP6,VCOMP6-1,3.29974,0.078,0
VCOMP7,VCOMP7-0,3.29969,-0.002,0.045
VCOMP7,VCOMP7-1,3.29951,0.002,0.045
