Altium Designer Pick and Place Locations
D:\HardWare Reppos\ALTIUM-reppo\Documents\MP3_player\Project Outputs\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       23/01/26
Time:       18:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U1","HT7533S","TopLayer","HT7533S_SOT23","-579.000mil","-195.000mil","270","Linear Voltage Regulator IC Positive Fixed 1 Output 100mA SOT-23"
"J13","DAP SWD","TopLayer","CONN_JST_3P","-571.614mil","381.947mil","180","Connector Header 3 position 1mm Pitch 1A Surface Mount,Vertical -25?~+85?"
"U2","STM32F411CEU6","TopLayer","STM32F411CEU6_QFPN48","0.000mil","0.000mil","135","ARM Cortex-M4 32 Bit 100MHz 36 UFQFPN-48(7x7) Microcontrollers RoHS"
"J16","TF-01A","TopLayer","CONN_CH_SMD_SD_CARD","904.858mil","-16.953mil","90","Push-Push 1.85mm Connector and Ejector MicroSD Card (TF Card) SMD PC Card Sockets ROHS"
"X1","XC32M4-8.000-F12LJDT","TopLayer","XTAL_SMD_HCL","131.133mil","-282.990mil","0","Crystal Oscillator 12pF SMD3225-4P Crystals RoHS"
"SW1","TS-1088-AR02016","TopLayer","SW_SMD_SPST","-863.000mil","288.000mil","0","Without Bracket 4mm 12V 3mm Round Button SPST 50mA SMD,4x3mm Tactile Switches ROHS"
"R10","100R","TopLayer","RES_SMD_0402","288.000mil","-32.000mil","135","General Purpose SMD Carbon Resistor"
"R9","10k","TopLayer","RES_SMD_0402","-160.670mil","-155.195mil","0","General Purpose SMD Carbon Resistor"
"R8","47k","TopLayer","RES_SMD_0402","625.000mil","-191.000mil","180","General Purpose SMD Carbon Resistor"
"R7","47k","TopLayer","RES_SMD_0402","625.000mil","-237.000mil","180","General Purpose SMD Carbon Resistor"
"R6","47k","TopLayer","RES_SMD_0402","625.000mil","67.000mil","180","General Purpose SMD Carbon Resistor"
"R5","47k","TopLayer","RES_SMD_0402","625.000mil","23.000mil","180","General Purpose SMD Carbon Resistor"
"R4","47k","TopLayer","RES_SMD_0402","625.000mil","-20.000mil","180","General Purpose SMD Carbon Resistor"
"R3","5k1","TopLayer","RES_SMD_0402","-712.477mil","-69.715mil","180","General Purpose SMD Carbon Resistor"
"R2","5k1","TopLayer","RES_SMD_0402","-712.477mil","48.396mil","180","General Purpose SMD Carbon Resistor"
"R1","100R","TopLayer","RES_SMD_0402","-809.466mil","-301.668mil","0","General Purpose SMD Carbon Resistor"
"J35","Castellated Pad","TopLayer","CPad","118.386mil","496.199mil","0",""
"J34","Castellated Pad","TopLayer","CPad","18.386mil","496.199mil","0",""
"J33","Castellated Pad","TopLayer","CPad","-81.614mil","496.199mil","0",""
"J32","Castellated Pad","TopLayer","CPad","218.386mil","496.199mil","0",""
"J31","Castellated Pad","TopLayer","CPad","318.386mil","496.199mil","0",""
"J30","Castellated Pad","TopLayer","CPad","418.386mil","496.199mil","0",""
"J29","Castellated Pad","TopLayer","CPad","-181.614mil","496.199mil","0",""
"J28","Castellated Pad","TopLayer","CPad","518.386mil","496.199mil","0",""
"J27","Castellated Pad","TopLayer","CPad","618.386mil","496.199mil","0",""
"J26","Castellated Pad","TopLayer","CPad","718.386mil","496.199mil","0",""
"J25","Castellated Pad","TopLayer","CPad","718.386mil","-488.053mil","180",""
"J24","Castellated Pad","TopLayer","CPad","618.386mil","-488.053mil","180",""
"J23","Castellated Pad","TopLayer","CPad","-281.614mil","-488.053mil","180",""
"J22","Castellated Pad","TopLayer","CPad","-181.614mil","-488.053mil","180",""
"J21","Castellated Pad","TopLayer","CPad","-81.614mil","-488.053mil","180",""
"J20","Castellated Pad","TopLayer","CPad","18.386mil","-488.053mil","180",""
